,Game,winner,winner.pred,winner.conf,WResult,Date
29,miamioh-centralmichigan,centralmichigan,centralmichigan,0.842317,1,1/4/2020
30,mtsu-charlotte,charlotte,charlotte,0.87969,1,1/4/2020
31,seattle-chicagost,seattle,seattle,0.712486,1,1/4/2020
32,ncst-clemson,clemson,ncst,0.77182,0,1/4/2020
33,youngstownst-clevelandst,clevelandst,youngstownst,0.743568,0,1/4/2020
34,georgiast-coastalcarolina,coastalcarolina,coastalcarolina,0.68458,1,1/4/2020
35,jamesmadison-charleston,charleston,charleston,0.759299,1,1/4/2020
36,wyoming-coloradost,coloradost,coloradost,0.90182,1,1/4/2020
37,providence-depaul,providence,depaul,0.768754,0,1/4/2020
38,indianast-drake,drake,drake,0.604053,1,1/4/2020
39,jacksonvillest-easternkentucky,jacksonvillest,jacksonvillest,0.636635,1,1/4/2020
40,akron-easternmichigan,akron,akron,0.837233,1,1/4/2020
41,portlandst-easternwashington,easternwashington,easternwashington,0.755149,1,1/4/2020
42,valparaiso-evansville,valparaiso,evansville,0.90971,0,1/4/2020
43,alabama-florida,florida,florida,0.709283,1,1/4/2020
44,utep-floridaatlantic,floridaatlantic,floridaatlantic,0.779103,1,1/4/2020
45,utsa-floridainternational,floridainternational,floridainternational,0.726565,1,1/4/2020
46,sanjosest-fresnost,fresnost,fresnost,0.957866,1,1/4/2020
47,etsu-furman,furman,furman,0.844291,1,1/4/2020
48,pepperdine-gonzaga,gonzaga,gonzaga,0.967198,1,1/4/2020
49,ucirvine-harvard,harvard,harvard,0.877943,1,1/4/2020
50,elon-hofstra,hofstra,hofstra,0.783012,1,1/4/2020
51,westvirginia-kansas,kansas,kansas,0.832158,1,1/4/2020
52,missouri-kentucky,kentucky,kentucky,0.904514,1,1/4/2020
53,troy-louisianalafayette,louisianalafayette,louisianalafayette,0.85075,1,1/4/2020
54,southalabama-louisianamonroe,louisianamonroe,southalabama,0.779207,0,1/4/2020
55,somiss-louisianatech,louisianatech,louisianatech,0.984096,1,1/4/2020
56,floridast-louisville,floridast,louisville,0.837019,0,1/4/2020
57,missourist-loyolachicago,loyolachicago,loyolachicago,0.799567,1,1/4/2020
58,villanova-marquette,marquette,villanova,0.69634,0,1/4/2020
59,northtexas-marshall,northtexas,marshall,0.634546,0,1/4/2020
60,indiana-maryland,maryland,maryland,0.53408,1,1/4/2020
61,georgia-memphis,georgia,memphis,0.620448,0,1/4/2020
62,chattanooga-mercer,chattanooga,chattanooga,0.577997,1,1/4/2020
63,duke-miamifl,duke,miamifl,0.569804,0,1/4/2020
64,auburn-mississippist,auburn,auburn,0.515503,1,1/4/2020
65,tennesseetech-moreheadst,moreheadst,moreheadst,0.940262,1,1/4/2020
66,sems-murrayst,murrayst,murrayst,0.95432,1,1/4/2020
67,oralroberts-nebraskaomaha,nebraskaomaha,oralroberts,0.535532,0,1/4/2020
68,boisest-nevada,nevada,nevada,0.691247,1,1/4/2020
69,georgiatech-unc,georgiatech,unc,0.879618,0,1/4/2020
70,weberst-northernarizona,northernarizona,northernarizona,0.809402,1,1/4/2020
71,montana-northerncolorado,northerncolorado,northerncolorado,0.9378,1,1/4/2020
72,bradley-northerniowa,northerniowa,northerniowa,0.928828,1,1/4/2020
73,kansasst-oklahoma,oklahoma,oklahoma,0.885243,1,1/4/2020
74,uab-olddominion,olddominion,olddominion,0.580839,1,1/4/2020
75,stmarys-pacific,pacific,stmarys,0.616612,0,1/4/2020
76,iowa-pennst,pennst,pennst,0.813529,1,1/4/2020
77,princeton-pennsylvania,princeton,pennsylvania,0.675364,0,1/4/2020
78,wakeforest-pittsburgh,wakeforest,pittsburgh,0.521811,0,1/4/2020
79,sanfrancisco-portland,portland,sanfrancisco,0.806442,0,1/4/2020
80,idahost-sacramentost,sacramentost,sacramentost,0.670879,1,1/4/2020
81,sandiego-santaclara,santaclara,santaclara,0.978387,1,1/4/2020
82,westernillinois-southdakotast,southdakotast,southdakotast,0.849665,1,1/4/2020
83,connecticut-southflorida,southflorida,connecticut,0.546643,0,1/4/2020
84,illinoisst-southernillinois,southernillinois,southernillinois,0.647905,1,1/4/2020
85,montanast-southernutah,southernutah,southernutah,0.525118,1,1/4/2020
86,notredame-syracuse,notredame,syracuse,0.711994,0,1/4/2020
87,iowast-tcu,tcu,tcu,0.609934,1,1/4/2020
88,lsu-tennessee,lsu,tennessee,0.745095,0,1/4/2020
89,siuedwardsville-tennesseest,tennesseest,tennesseest,0.818796,1,1/4/2020
90,oklahomast-texastech,texastech,texastech,0.830715,1,1/4/2020
91,westerncarolina-citadel,westerncarolina,westerncarolina,0.528202,1,1/4/2020
92,cincinnati-tulane,tulane,tulane,0.666484,1,1/4/2020
93,utahvalleyst-umkc,umkc,umkc,0.549585,1,1/4/2020
94,airforce-unlv,unlv,airforce,0.791056,0,1/4/2020
95,oregon-utah,oregon,utah,0.789378,0,1/4/2020
96,someth-vanderbilt,someth,vanderbilt,0.621488,0,1/4/2020
97,virginiatech-virginia,virginia,virginiatech,0.832043,0,1/4/2020
98,samford-vmi,samford,vmi,0.809223,0,1/4/2020
99,ucla-washingtonst,washingtonst,ucla,0.673716,0,1/4/2020
100,rice-westernkentucky,westernkentucky,westernkentucky,0.839753,1,1/4/2020
101,ohio-westernmichigan,westernmichigan,westernmichigan,0.698535,1,1/4/2020
102,mississippi-wichitast,wichitast,wichitast,0.834205,1,1/4/2020
103,ncgreensboro-wofford,wofford,wofford,0.844016,1,1/4/2020
104,fairfiield-canisius,fairfiield,canisius,0.776629,0,1/5/2020
105,oregonst-colorado,oregonst,oregonst,0.684627,1,1/5/2020
106,wrightst-detroit,wrightst,wrightst,0.78515,1,1/5/2020
107,davidson-duquesne,duquesne,duquesne,0.624783,1,1/5/2020
108,lasalle-fordham,lasalle,lasalle,0.612785,1,1/5/2020
109,vcu-georgemason,vcu,vcu,0.604686,1,1/5/2020
110,stbonaventure-georgewashington,stbonaventure,stbonaventure,0.565097,1,1/5/2020
111,purdue-illinois,illinois,illinois,0.866551,1,1/5/2020
112,michigan-michiganst,michiganst,michiganst,0.567233,1,1/5/2020
113,northwestern-minnesota,minnesota,minnesota,0.692536,1,1/5/2020
114,iona-monmouth,monmouth,monmouth,0.589241,1,1/5/2020
115,manhattan-niagara,manhattan,niagara,0.875337,0,1/5/2020
116,ipfw-northdakota,northdakota,ipfw,0.6377,0,1/5/2020
