"","Game","total.result","total.pred","total.conf","TResult","Date","Round"
"120","dayton-stjoes","Under","Under",0.6537,1,0001-05-20,0.65
"121","massachusetts-stlouis","Over","Under",0.582059,0,0001-05-20,0.58
"122","marist-stpeters","Under","Under",0.818598,1,0001-05-20,0.82
"123","denver-southdakota","Over","Under",0.907625,0,0001-05-20,0.91
"124","usc-washington","Under","Over",0.840078,0,0001-05-20,0.84
"125","illinoischicago-uwmilwaukee","Under","Under",0.636981,1,0001-05-20,0.64
"126","stjohns-xavier","Under","Under",0.539473,1,0001-05-20,0.54
"127","louisianalafayette-appalachianst","Over","Under",0.722555,0,0001-06-20,0.72
"128","georgiasouthern-arkansaslittlerock","Over","Under",0.721764,0,0001-06-20,0.72
"129","georgiast-arkansasst","Over","Under",0.563807,0,0001-06-20,0.56
"130","louisianamonroe-coastalcarolina","Over","Under",0.711959,0,0001-06-20,0.71
"131","westvirginia-oklahomast","Under","Under",0.532883,1,0001-06-20,0.53
"132","southalabama-texasarlington","Under","Over",0.566051,0,0001-06-20,0.57
"133","troy-texasst","Under","Under",0.757389,1,0001-06-20,0.76
"134","utahst-airforce","Under","Over",0.544867,0,0001-07-20,0.54
"135","westernmichigan-akron","Over","Over",0.706246,1,0001-07-20,0.71
"136","buffalo-ballst","Over","Over",0.539409,1,0001-07-20,0.54
"137","virginia-bostoncollege","Over","Under",0.867026,0,0001-07-20,0.87
"138","miamioh-bowlinggreen","Over","Under",0.535678,0,0001-07-20,0.54
"139","northernillinois-centralmichigan","Under","Over",0.517777,0,0001-07-20,0.52
"140","villanova-creighton","Under","Over",0.535877,0,0001-07-20,0.54
"141","loyolachicago-drake","Under","Over",0.537312,0,0001-07-20,0.54
"142","southflorida-eastcarolina","Under","Under",0.76203,1,0001-07-20,0.76
"143","kentucky-georgia","Over","Over",0.829962,1,0001-07-20,0.83
"144","missourist-illinoisst","Over","Under",0.83639,0,0001-07-20,0.84
"145","tcu-kansasst","Under","Over",0.595952,0,0001-07-20,0.6
"146","toledo-kentst","Over","Over",0.77741,1,0001-07-20,0.78
"147","miamifl-louisville","Under","Under",0.646634,1,0001-07-20,0.65
"148","providence-marquette","Over","Under",0.555024,0,0001-07-20,0.56
"149","ohiost-maryland","Under","Over",0.719092,0,0001-07-20,0.72
"150","tennessee-missouri","Over","Over",0.5071,1,0001-07-20,0.51
"151","iowa-nebraska","Under","Under",0.618886,1,0001-07-20,0.62
"152","fresnost-newmexico","Over","Over",0.60279,1,0001-07-20,0.6
"153","indianast-northerniowa","Under","Over",0.767905,0,0001-07-20,0.77
"154","easternmichigan-ohio","Over","Under",0.606829,0,0001-07-20,0.61
"155","rider-quinnipiac","Under","Over",0.518087,0,0001-07-20,0.52
"156","pennst-rutgers","Under","Over",0.811623,0,0001-07-20,0.81
"157","florida-southcarolina","Over","Under",0.581252,0,0001-07-20,0.58
"158","valparaiso-southernillinois","Under","Under",0.775746,1,0001-07-20,0.78
"159","virginiatech-syracuse","Under","Over",0.605701,0,0001-07-20,0.61
"160","houston-temple","Over","Over",0.52323,1,0001-07-20,0.52
"161","mississippi-texasam","Under","Over",0.640027,0,0001-07-20,0.64
"162","baylor-texastech","Under","Over",0.830549,0,0001-07-20,0.83
"163","mississippist-alabama","Over","Over",0.643776,1,0001-08-20,0.64
"164","vanderbilt-auburn","Over","Over",0.853048,1,0001-08-20,0.85
"165","unlv-boisest","Over","Under",0.613663,0,0001-08-20,0.61
"166","ucsb-calpoly","Under","Under",0.729128,1,0001-08-20,0.73
"167","lbsu-calstnorthridge","Over","Under",0.757398,0,0001-08-20,0.76
"168","furman-chattanooga","Over","Over",0.642709,1,0001-08-20,0.64
"169","tulsa-cincinnati","Under","Under",0.514564,1,0001-08-20,0.51
"170","tulane-connecticut","Under","Under",0.5987,1,0001-08-20,0.6
"171","southdakotast-denver","Over","Under",0.753255,0,0001-08-20,0.75
"172","bradley-evansville","Under","Over",0.517972,0,0001-08-20,0.52
"173","marist-fairfiield","Over","Under",0.921412,0,0001-08-20,0.92
"174","stbonaventure-georgemason","Under","Under",0.727281,1,0001-08-20,0.73
"175","stjohns-georgetown","Under","Under",0.560432,1,0001-08-20,0.56
"176","duke-georgiatech","Under","Over",0.543359,0,0001-08-20,0.54
"177","northwestern-indiana","Under","Over",0.510322,0,0001-08-20,0.51
