My.Name,kenpom,oddshark,espn,realgm,kenpom_tempo,neutral,espn full,247
duquesne,Duquesne,Duquesne,Duquesne,Duquesne Dukes,duquesne,Duquesne,Duquesne Dukes,duquesne
eastcarolina,East Carolina,East Carolina,East Carolina,East Carolina Pirates,east+carolina,East Carolina,East Carolina Pirates,east-carolina
easternillinois,Eastern Illinois,Eastern Illinois,Eastern Illinois,Eastern Illinois Panthers,eastern+illinois,Eastern Illinois,Eastern Illinois Panthers,eastern-illinois
easternkentucky,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky Colonels,eastern+kentucky,Eastern Kentucky,Eastern Kentucky Colonels,eastern-kentucky
easternmichigan,Eastern Michigan,Eastern Michigan,Eastern Michigan,Eastern Michigan Eagles,eastern+michigan,Eastern Michigan,Eastern Michigan Eagles,eastern-michigan
easternwashington,Eastern Washington,Eastern Washington,Eastern Washington,Eastern Washington Eagles,eastern+washington,Eastern Washington,Eastern Washington Eagles,eastern-washington
elon,Elon,Elon,Elon,Elon Phoenix,elon,Elon,Elon Phoenix,elon
ETSU,East Tennessee St.,East Tennessee State,East Tennessee State,East Tennessee State Buccaneers,east+tennessee+st.,East Tennessee St.,East Tennessee State Buccaneers,etsu
evansville,Evansville,Evansville,Evansville,Evansville Aces,evansville,Evansville,Evansville Purple Aces,evansville
fairfiield,Fairfield,Fairfield,Fairfield,Fairfield Stags,fairfield,Fairfield,Fairfield Stags,fairfield
fairleighdickinson,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson Knights,fairleigh+dickinson,Fairleigh Dickinson,Fairleigh Dickinson Knights,fairleigh-dickinson
FGC,Florida Gulf Coast,FGC,FGC,Florida Gulf Coast Eagles,florida+gulf+coast,Florida Gulf Coast,Florida Gulf Coast Eagles,florida-gulf-coast
florida,Florida,Florida,Florida,Florida Gators,florida,Florida,Florida Gators,florida
floridaAM,Florida A&M,Florida A&amp;M,Florida A&M,Florida A&M Rattlers,florida+a%26m,Florida A&M,Florida A&M Rattlers,famu
floridaatlantic,Florida Atlantic,Florida Atlantic,Florida Atlantic,Florida Atlantic Owls,florida+atlantic,Florida Atlantic,Florida Atlantic Owls,florida-atlantic
floridainternational,FIU,Florida International,Florida Intl,Florida International Golden Panthers,fiu,FIU,Florida International Golden Panthers,florida-international
floridast,Florida St.,Florida State,Florida State,Florida State Seminoles,florida+st.,Florida St.,Florida State Seminoles,florida-state
fordham,Fordham,Fordham,Fordham,Fordham Rams,fordham,Fordham,Fordham Rams,fordham
fresnost,Fresno St.,Fresno State,Fresno State,Fresno State Bulldogs,fresno+st.,Fresno St.,Fresno State Bulldogs,fresno-state
furman,Furman,Furman,Furman,Furman Paladins,furman,Furman,Furman Paladins,furman
gardnerwebb,Gardner Webb,Gardner-Webb,Gardner,Gardner-Webb Runnin' Bulldogs,gardner+webb,Gardner Webb,Gardner-Webb Bulldogs,gardner-webb
georgemason,George Mason,George Mason,George Mason,George Mason Patriots,george+mason,George Mason,George Mason Patriots,george-mason
georgetown,Georgetown,Georgetown University,Georgetown,Georgetown Hoyas,georgetown,Georgetown,Georgetown Hoyas,georgetown
georgewashington,George Washington,George Washington,George Washington,George Washington Colonials,george+washington,George Washington,George Washington Colonials,george-washington
georgia,Georgia,Georgia,Georgia,Georgia Bulldogs,georgia,Georgia,Georgia Bulldogs,georgia
georgiasouthern,Georgia Southern,Georgia Southern,Georgia Southern,Georgia Southern Eagles,georgia+southern,Georgia Southern,Georgia Southern Eagles,georgia-southern
georgiast,Georgia St.,Georgia State,Georgia State,Georgia State Panthers,georgia+st.,Georgia St.,Georgia State Panthers,georgia-state
georgiatech,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech Yellow Jackets,georgia+tech,Georgia Tech,Georgia Tech Yellow Jackets,georgia-tech
gonzaga,Gonzaga,Gonzaga,Gonzaga,Gonzaga Bulldogs,gonzaga,Gonzaga,Gonzaga Bulldogs,gonzaga
grambling,Grambling St.,Grambling State,Grambling,Grambling State Tigers,grambling+st.,Grambling St.,Grambling Tigers,grambling-state
grandcanyon,Grand Canyon,grandcanyon,grandcanyon,Grand Canyon Antelopes,grand+canyon,Grand Canyon,Grand Canyon Antelopes,n/a
hampton,Hampton,Hampton,Hampton,Hampton Pirates,hampton,Hampton,Hampton Pirates,hampton
hartford,Hartford,Hartford,Hartford,Hartford Hawks,hartford,Hartford,Hartford Hawks,hartford
harvard,Harvard,Harvard,Harvard,Harvard Crimson,harvard,Harvard,Harvard Crimson,harvard
hawaii,Hawaii,Hawaii,Hawai'i,Hawaii Warriors,hawaii,Hawaii,Hawai'i Rainbow Warriors,hawaii
highpoint,High Point,High Point,High Point,High Point Panthers,high+point,High Point,High Point Panthers,high-point
hofstra,Hofstra,Hofstra,Hofstra,Hofstra Pride,hofstra,Hofstra,Hofstra Pride,hofstra
holycross,Holy Cross,Holy Cross,Holy Cross,Holy Cross Crusaders,holy+cross,Holy Cross,Holy Cross Crusaders,holy-cross
houston,Houston,Houston,Houston,Houston Cougars,houston,Houston,Houston Cougars,houston
houstonbaptist,Houston Baptist,houstonbaptist,houstonbaptist,Houston Baptist Huskies,houston+baptist,Houston Baptist,Houston Baptist Huskies,houston-baptist
howard,Howard,Howard,Howard,Howard Bison,howard,Howard,Howard Bison,howard
idaho,Idaho,Idaho,Idaho,Idaho Vandals,idaho,Idaho,Idaho Vandals,idaho
idahost,Idaho St.,Idaho State,Idaho State,Idaho State Bengals,idaho+st.,Idaho St.,Idaho State Bengals,idaho-state
illinois,Illinois,Illinois,Illinois,Illinois Fighting Illini,illinois,Illinois,Illinois Fighting Illini,illinois
illinoischicago,Illinois Chicago,UIC,UIC,Illinois-Chicago Flames,illinois+chicago,Illinois Chicago,UIC Flames,uic
illinoisst,Illinois St.,Illinois State,Illinois State,Illinois State Redbirds,illinois+st.,Illinois St.,Illinois State Redbirds,illinois-state
incarnateword,Incarnate Word,Incarnate Word,incarnateword,Incarnate Word Cardinals,incarnate+word,Incarnate Word,Incarnate Word Cardinals,n/a
indiana,Indiana,Indiana,Indiana,Indiana Hoosiers,indiana,Indiana,Indiana Hoosiers,indiana
indianast,Indiana St.,Indiana State,Indiana State,Indiana State Sycamores,indiana+st.,Indiana St.,Indiana State Sycamores,indiana-state
iona,Iona,Iona,Iona,Iona Gaels,iona,Iona,Iona Gaels,iona
iowa,Iowa,Iowa,Iowa,Iowa Hawkeyes,iowa,Iowa,Iowa Hawkeyes,iowa
iowast,Iowa St.,Iowa State,Iowa State,Iowa State Cyclones,iowa+st.,Iowa St.,Iowa State Cyclones,iowa-state
IPFW,Purdue Fort Wayne,IPFW Fort Wayne,Fort Wayne,Fort Wayne Mastodons,purdue+fort+wayne,Fort Wayne,Purdue Fort Wayne Mastodons,ipfw
iupui,IUPUI,IUPUI-Indiana Purdue,IUPUI,IUPUI Jaguars,iupui,IUPUI,IUPUI Jaguars,iupui
jacksonst,Jackson St.,Jackson State,Jackson State,Jackson State Tigers,jackson+st.,Jackson St.,Jackson State Tigers,jackson-state
jacksonville,Jacksonville,Jacksonville,Jacksonville,Jacksonville Dolphins,jacksonville,Jacksonville,Jacksonville Dolphins,jacksonville
jacksonvillest,Jacksonville St.,Jacksonville State,Jacksonville St,Jacksonville State Gamecocks,jacksonville+st.,Jacksonville St.,Jacksonville State Gamecocks,jacksonville-state
jamesmadison,James Madison,James Madison,James Madison,James Madison Dukes,james+madison,James Madison,James Madison Dukes,james-madison
kansas,Kansas,Kansas,Kansas,Kansas Jayhawks,kansas,Kansas,Kansas Jayhawks,kansas
kansasst,Kansas St.,Kansas State,Kansas State,Kansas State Wildcats,kansas+st.,Kansas St.,Kansas State Wildcats,kansas-state
kennesawst,Kennesaw St.,Kennesaw State,kennesawst,Kennesaw State Owls,kennesaw+st.,Kennesaw St.,Kennesaw State Owls,kennesaw-state
kentst,Kent St.,Kent State,Kent State,Kent State Golden Flashes,kent+st.,Kent St.,Kent State Golden Flashes,kent-state
kentucky,Kentucky,Kentucky,Kentucky,Kentucky Wildcats,kentucky,Kentucky,Kentucky Wildcats,kentucky
lafayette,Lafayette,Lafayette,Lafayette,Lafayette Leopards,lafayette,Lafayette,Lafayette Leopards,lafayette
lamar,Lamar,Lamar,Lamar,Lamar Cardinals,lamar,Lamar,Lamar Cardinals,lamar
lasalle,La Salle,La Salle,La Salle,La Salle Explorers,la+salle,La Salle,La Salle Explorers,la-salle
LBSU,Long Beach St.,Long Beach State,Long Beach State,Long Beach State 49ers,long+beach+st.,Long Beach St.,Long Beach State 49ers,long-beach-state
lehigh,Lehigh,Lehigh,Lehigh,Lehigh Mountain Hawks,lehigh,Lehigh,Lehigh Mountain Hawks,lehigh
liberty,Liberty,Liberty,Liberty,Liberty Flames,liberty,Liberty,Liberty Flames,liberty
lipscomb,Lipscomb,Lipscomb,Lipscomb,Lipscomb Bisons,lipscomb,Lipscomb,Lipscomb Bisons,lipscomb
longisland,LIU Brooklyn,LIU-Brooklyn,LIU Brooklyn,Long Island Brooklyn Blackbirds,liu,LIU Brooklyn,LIU Brooklyn Blackbirds,liu-brooklyn
longwood,Longwood,Longwood,Longwood,Longwood Lancers,longwood,Longwood,Longwood Lancers,longwood
louisianalafayette,Louisiana,Louisiana-Lafayette,Louisiana,Louisiana Ragin' Cajuns,louisiana,Louisiana Lafayette,Louisiana Ragin' Cajuns,louisiana
louisianamonroe,Louisiana Monroe,Louisiana-Monroe,UL Monroe,Louisiana-Monroe Warhawks,louisiana+monroe,Louisiana Monroe,UL Monroe Warhawks,louisiana-monroe
louisianatech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech Bulldogs,louisiana+tech,Louisiana Tech,Louisiana Tech Bulldogs,louisiana-tech
louisville,Louisville,Louisville,Louisville,Louisville Cardinals,louisville,Louisville,Louisville Cardinals,louisville
loyolachicago,Loyola Chicago,Loyola-Chicago,Loyola,Loyola (IL) Ramblers,loyola+chicago,Loyola Chicago,Loyola-Chicago Ramblers,loyola
loyolamarymount,Loyola Marymount,Loyola Marymount,Loyola Marymount,Loyola Marymount Lions,loyola+marymount,Loyola Marymount,Loyola Marymount Lions,n/a
loyolamd,Loyola MD,loyolamd,Loyola (MD),Loyola (MD) Greyhounds,loyola+md,Loyola MD,Loyola (MD) Greyhounds,loyola-maryland
LSU,LSU,LSU,LSU,LSU Tigers,lsu,LSU,LSU Tigers,lsu
maine,Maine,Maine,Maine,Maine Black Bears,maine,Maine,Maine Black Bears,maine
manhattan,Manhattan,Manhattan,Manhattan,Manhattan Jaspers,manhattan,Manhattan,Manhattan Jaspers,manhattan
marist,Marist,Marist,Marist,Marist Red Foxes,marist,Marist,Marist Red Foxes,marist
marquette,Marquette,Marquette,Marquette,Marquette Golden Eagles,marquette,Marquette,Marquette Golden Eagles,marquette
marshall,Marshall,Marshall,Marshall,Marshall Thundering Herd,marshall,Marshall,Marshall Thundering Herd,marshall
maryland,Maryland,Maryland,Maryland,Maryland Terrapins,maryland,Maryland,Maryland Terrapins,maryland
massachusetts,Massachusetts,UMass,Massachusetts,Massachusetts Minutemen,massachusetts,Massachusetts,UMass Minutemen,massachusetts
mcneesest,McNeese St.,Mcneese State,McNeese,McNeese State Cowboys,mcneese+st.,McNeese St.,McNeese Cowboys,mcneese-state
memphis,Memphis,Memphis,Memphis,Memphis Tigers,memphis,Memphis,Memphis Tigers,memphis
mercer,Mercer,Mercer,Mercer,Mercer Bears,mercer,Mercer,Mercer Bears,mercer
miamifl,Miami FL,Miami,Miami,Miami (FL) Hurricanes,miami+fl,Miami FL,Miami Hurricanes,miami
miamioh,Miami OH,Miami-Ohio,Miami (OH),Miami (OH) RedHawks,miami+oh,Miami OH,Miami (OH) RedHawks,miami-ohio
michigan,Michigan,Michigan,Michigan,Michigan Wolverines,michigan,Michigan,Michigan Wolverines,michigan
michiganst,Michigan St.,Michigan State,Michigan State,Michigan State Spartans,michigan+st.,Michigan St.,Michigan State Spartans,michigan-state
minnesota,Minnesota,Minnesota,Minnesota,Minnesota Gophers,minnesota,Minnesota,Minnesota Golden Gophers,minnesota
mississippi,Mississippi,Mississippi-Ole Miss,Ole Miss,Ole Miss Rebels,mississippi,Mississippi,Ole Miss Rebels,ole-miss
mississippist,Mississippi St.,Mississippi State,Mississippi State,Mississippi State Bulldogs,mississippi+st.,Mississippi St.,Mississippi State Bulldogs,mississippi-state
missouri,Missouri,Missouri,Missouri,Missouri Tigers,missouri,Missouri,Missouri Tigers,missouri
missourist,Missouri St.,Missouri State,Missouri State,Missouri State Bears,missouri+st.,Missouri St.,Missouri State Bears,missouri-state
monmouth,Monmouth,Monmouth,Monmouth,Monmouth Hawks,monmouth,Monmouth,Monmouth Hawks,monmouth
montana,Montana,Montana,Montana,Montana Grizzlies,montana,Montana,Montana Grizzlies,montana
montanast,Montana St.,Montana State,Montana State,Montana State Fighting Bobcats,montana+st.,Montana St.,Montana State Bobcats,montana-state
