"","player.name","player.rating","player.pos","player.ht","player.wt","player.nat.rank","player.pos.rank","player.state.rank","player.year","player.team"
"6857","eric moreland","0.8556","pf","6-9",210,252,61,27,2010,"oregon-state"""
"6858","chris brown","0.7667","c""","6-11",250,544,52,23,2010,"oregon-state"""
"6859","dwight powell","0.987","pf","6-9",215,34,6,4,2010,"stanford"""
"6860","anthony brown","0.9757","sg","6-6",180,64,14,5,2010,"stanford"""
"6861","john gage","0.8838","pf","6-10",205,164,36,3,2010,"stanford"""
"6862","stefan nastic","0.8796","pf","6-9",215,186,43,1,2010,"stanford"""
"6863","josh huestis","0.8796","pf","6-7",210,187,44,1,2010,"stanford"""
"6864","aaron bright","0.8775","pg","5-10",175,201,41,5,2010,"stanford"""
"6865","josh smith","0.9933","c""","6-10",270,17,3,1,2010,"ucla"""
"6866","tyler lamb","0.9855","sg","6-3",195,38,8,2,2010,"ucla"""
"6867","bryce jones","0.9705","sg","6-4",175,74,17,9,2010,"usc"""
"6868","maurice jones","0.8859","pg","5-7",150,159,32,5,2010,"usc"""
"6869","garrett jackson","0.8796","sf","6-6",195,183,40,3,2010,"usc"""
"6870","curtis washington","0.8363","c""","6-9",200,320,26,1,2010,"usc"""
"6871","dominique lee","0.8236","sf","6-3",190,352,73,32,2010,"utah"""
"6872","chris kupets","0.7667","pg","5-11",180,NA,NA,NA,2010,"utah"""
"6873","josh watkins","0.7667","pg","6-0",195,NA,NA,NA,2010,"utah"""
"6874","terrence ross","0.9871","sg","6-5",180,32,5,2,2010,"washington"""
"6875","desmond simmons","0.8998","sf","6-7",210,150,32,13,2010,"washington"""
"6876","aziz n&#39;diaye","0.8778","c""","7-0",255,NA,NA,NA,2010,"washington"""
"6877","patrick simon","0.8775","sf","6-7",185,193,45,4,2010,"washington-state"""
"6878","faisal aden","0.8444","sg","6-4",185,292,70,22,2010,"washington-state"""
"6879","andre winston","0.8093","pg","6-0",160,419,82,6,2010,"washington-state"""
"6880","will diiorio",NA,"cg","6-6",195,NA,NA,NA,2010,"washington-state"""
"6881","trevor releford","0.9758","pg","6-1",180,63,16,1,2010,"alabama"""
