"","player.name","player.rating","player.pos","player.ht","player.wt","player.nat.rank","player.pos.rank","player.state.rank","player.year","player.team"
"1696","jamari wheeler","0.85","pg","6-0",150,391,77,37,2017,"penn-state"""
"1697","trent buttrick","0.8033","pf","6-8",220,527,127,49,2017,"penn-state"""
"1698","john harrar","0.7667","pf","6-8",230,531,129,20,2017,"penn-state"""
"1699","nojel eastern","0.9706","sf","6-6",210,69,15,3,2017,"purdue"""
"1700","eden ewing","0.91","pf","6-8.5",215,NA,NA,NA,2017,"purdue"""
"1701","aaron wheeler","0.8958","sf","6-8",200,174,39,5,2017,"purdue"""
"1702","matt haarms","0.853","c""","7-2",220,352,34,6,2017,"purdue"""
"1703","sasha stefanovic","0.8517","sg","6-4",195,374,83,15,2017,"purdue"""
"1704","mamadou doucoure","0.9097","c""","6-9",220,150,14,6,2017,"rutgers"""
"1705","souf mensah","0.87","pg","6-2",210,NA,NA,NA,2017,"rutgers"""
"1706","myles johnson","0.8519","pf","6-9",245,371,88,27,2017,"rutgers"""
"1707","geo baker","0.8365","cg","6-2",NA,414,23,12,2017,"rutgers"""
"1708","luke nathan",NA,"c""","6-10",180,NA,NA,NA,2017,"rutgers"""
"1709","nate reuvers","0.9723","pf","6-9",210,66,17,2,2017,"wisconsin"""
"1710","brad davison","0.9414","pg","6-3",190,108,23,3,2017,"wisconsin"""
"1711","kobe king","0.882","sg","6-3",175,197,42,2,2017,"wisconsin"""
"1712","kimani lawrence","0.9787","sf","6-7",200,57,13,2,2017,"arizona-state"""
"1713","remy martin","0.9587","pg","5-11",170,84,18,12,2017,"arizona-state"""
"1714","de&#39;quon lake","0.89","c""","6-10",NA,NA,NA,NA,2017,"arizona-state"""
"1715","rob edwards",NA,"pg","6-5",205,NA,NA,NA,2017,"arizona-state"""
"1716","deandre ayton","0.9992","pf","7-0",250,4,3,2,2017,"arizona"""
"1717","brandon randolph","0.986","sg","6-6",183,38,8,4,2017,"arizona"""
"1718","ira lee","0.9766","c""","6-8",210,60,4,9,2017,"arizona"""
"1719","alex barcello","0.9592","pg","6-2",165,83,17,1,2017,"arizona"""
"1720","emmanuel akot","0.9913","sf","6-7",190,24,7,1,2017,"arizona"""
"1721","juhwan harris-dyson","0.9139","sg","6-4",190,144,29,16,2017,"california"""
"1722","justice sueing","0.8985","pf","6-7",205,171,45,19,2017,"california"""
"1723","austin mccullough","0.86","sg","6-5",185,319,67,6,2017,"california"""
"1724","grant anticevich","0.86","sf","6-8",NA,320,66,1,2017,"california"""
"1725","trevin knell","0.8569","sg","6-5",175,333,69,3,2017,"california"""
"1726","deschon winston","0.8502","pg","6-2",180,382,75,30,2017,"california"""
"1727","alec hickman","0.8288","sg","6-4",170,499,113,49,2017,"california"""
"1728","darius mcneill","0.8786","sg","6-2",165,206,44,16,2017,"california"""
"1729","d&#39;shawn schwartz","0.97","sf","6-5",222,71,16,1,2017,"colorado"""
"1730","tyler bey","0.9226","pf","6-8",200,130,31,13,2017,"colorado"""
"1731","evan battey","0.9181","pf","6-6",280,138,35,14,2017,"colorado"""
"1732","mckinley wright","0.8738","pg","6-0",180,229,44,7,2017,"colorado"""
"1733","lazar nikolic",NA,"sg","6-6",200,NA,NA,NA,2017,"colorado"""
"1734","troy brown","0.9954","sf","6-7",210,13,4,1,2017,"oregon"""
"1735","victor bailey","0.9578","pg","6-3",165,86,19,5,2017,"oregon"""
"1736","kenny wooten","0.9227","pf","6-8",205,129,30,3,2017,"oregon"""
"1737","abu kigab","0.9157","sf","6-7",190,140,32,15,2017,"oregon"""
"1738","ethan thompson","0.9862","sg","6-4",170,37,7,6,2017,"oregon-state"""
"1739","alfred hollins","0.893","sf","6-6",185,179,41,3,2017,"oregon-state"""
"1740","zach reichle","0.8505","sg","6-4",185,381,86,1,2017,"oregon-state"""
"1741","kz okpala","0.9845","sf","6-6",180,42,8,7,2017,"stanford"""
"1742","daejon davis","0.9809","cg","6-3",170,50,3,3,2017,"stanford"""
"1743","isaac white","0.8628","pg","6-1",185,282,55,1,2017,"stanford"""
"1744","oscar da silva","0.9122","pf","6-10",225,147,37,1,2017,"stanford"""
"1745","kris wilkes","0.9924","sf","6-8",195,21,6,3,2017,"ucla"""
"1746","cody riley","0.9818","pf","6-7",200,48,13,8,2017,"ucla"""
"1747","jalen hill","0.9726","pf","6-8",200,65,16,10,2017,"ucla"""
"1748","chris smith","0.915","sf","6-8",190,141,33,2,2017,"ucla"""
"1749","liangelo ball","0.8742","sg","6-5",220,226,50,22,2017,"ucla"""
"1750","jaylen hands","0.9918","pg","6-2",170,22,3,5,2017,"ucla"""
"1751","charles o&#39;bannon jr.","0.9837","sg","6-5",190,45,10,2,2017,"usc"""
"1752","jordan usher","0.9422","sg","6-5",180,104,22,12,2017,"usc"""
"1753","victor uyaelunmo","0.8767","c""","7-0",210,216,20,22,2017,"usc"""
"1754","branden carlson","0.9442","pf","6-9",200,102,23,2,2017,"utah"""
"1755","vante hendrix","0.889","sg","6-5",190,183,36,20,2017,"utah"""
"1756","donnie tillman","0.8726","pf","6-7",225,234,56,6,2017,"utah"""
"1757","jaxon brenchley","0.8513","sg","6-3",180,376,84,4,2017,"utah"""
"1758","christian popoola","0.8752","cg","6-3",180,221,10,5,2017,"utah"""
"1759","jaylen nowell","0.9717","sg","6-4",175,67,13,4,2017,"washington"""
"1760","hameir wright","0.9595","sf","6-7",203,81,19,3,2017,"washington"""
"1761","nahziah carter","0.8705","sf","6-6",185,246,51,10,2017,"washington"""
"1762","michael carter iii",NA,"sg","6-5",180,NA,NA,NA,2017,"washington"""
"1763","nate pryor","0.7667","pg","6-3",175,535,104,8,2017,"washington"""
"1764",NA,NA,NA,NA,NA,NA,NA,NA,2017,"washington-state"""
"1765","collin sexton","0.9981","pg","6-2",182,5,1,1,2017,"alabama"""
"1766","john petty","0.9878","sg","6-5",180,33,5,1,2017,"alabama"""
"1767","alex reese","0.9481","pf","6-9",225,96,21,2,2017,"alabama"""
"1768","herbert jones","0.9115","sg","6-7",183,148,30,4,2017,"alabama"""
"1769","galin smith","0.8644","c""","6-9.5",220,274,29,3,2017,"alabama"""
"1770","daniel gafford","0.986","pf","6-9",217,39,11,1,2017,"arkansas"""
"1771","khalil garland","0.8996","sg","6-6",195,169,33,2,2017,"arkansas"""
"1772","darious hall","0.8616","sf","6-6",210,296,62,4,2017,"arkansas"""
"1773","gabe osabuohien","0.86","sf","6-7",219,318,65,5,2017,"arkansas"""
"1774","malik dunbar","0.8578","cg","6-6",225,NA,NA,NA,2017,"auburn"""
"1775","chuma okeke","0.982","sf","6-7",225,47,10,4,2017,"auburn"""
"1776","davion mitchell","0.977","pg","6-1",185,59,12,6,2017,"auburn"""
"1777","chase johnson","0.9579","pf","6-8",205,85,19,1,2017,"florida"""
"1778","deaundrae ballard","0.9445","sf","6-6",170,101,23,11,2017,"florida"""
"1779","isaiah stokes","0.9262","pf","6-8",270,123,29,10,2017,"florida"""
"1780","mike okauru","0.8691","pg","6-3",180,260,54,8,2017,"florida"""
"1781","rayshaun hammonds","0.9809","pf","6-7",190,51,14,5,2017,"georgia"""
"1782","nicolas claxton","0.8733","sf","6-9",195,231,48,5,2017,"georgia"""
"1783","isaac kante","0.853","pf","6-8",220,362,87,8,2017,"georgia"""
"1784","teshaun hightower","0.8496","cg","6-4",180,396,21,10,2017,"georgia"""
"1785","hamidou diallo","0.9964","sg","6-5",195,10,1,1,2017,"kentucky"""
"1786","kevin knox","0.9959","sf","6-9",206,11,2,3,2017,"kentucky"""
"1787","jarred vanderbilt","0.9955","sf","6-9",213,12,3,1,2017,"kentucky"""
"1788","pj washington","0.9947","pf","6-8",230,15,7,2,2017,"kentucky"""
"1789","nick richards","0.9943","c""","7-0",239,18,2,1,2017,"kentucky"""
"1790","quade green","0.9907","pg","6-1",177,26,5,3,2017,"kentucky"""
"1791","shai gilgeous-alexander","0.9882","cg","6-6",175,31,2,1,2017,"kentucky"""
"1792","jemarl baker","0.969","sg","6-4",185,73,15,11,2017,"kentucky"""
"1793","tremont waters","0.9842","pg","5-11",160,44,10,2,2017,"lsu"""
"1794","brandon rachal",NA,"cg","6-6",220,NA,NA,NA,2017,"lsu"""
"1795","galen alexander","0.9204","sf","6-6",215,135,29,3,2017,"lsu"""
"1796","mayan kiir","0.9035","pf","6-9",220,161,42,14,2017,"lsu"""
"1797","daryl edwards","0.89","sg","6-4",185,NA,NA,NA,2017,"lsu"""
"1798","nick weatherspoon","0.9891","pg","6-2",173,29,6,1,2017,"mississippi-state"""
"1799","keyshawn feazell","0.8711","pf","6-9",225,241,57,2,2017,"mississippi-state"""
"1800","andra espinoza-hunter",NA,"sg","5-11",NA,NA,NA,NA,2017,"mississippi-state"""
"1801","michael porter","0.9998","sf","6-10",213,2,1,1,2017,"missouri"""
"1802","jontay porter","0.991","pf","6-10",225,25,9,2,2017,"missouri"""
"1803","javon pickett","0.8616","sg","6-3",180,292,60,11,2017,"missouri"""
"1804","jeremiah tilmon","0.9845","pf","6-10.5",258,43,12,1,2017,"missouri"""
"1805","blake harris","0.9266","pg","6-3",185,121,25,8,2017,"missouri"""
"1806","c.j. roberts","0.8979","pg","6-2",178,172,32,14,2017,"missouri"""
"1807","devontae shuler","0.9385","sg","6-3",180,110,23,6,2017,"ole-miss"""
"1808","bruce stevens","0.91","pf","6-8",257,NA,NA,NA,2017,"ole-miss"""
"1809","david beatty","0.9066","cg","6-3",170,153,8,7,2017,"south-carolina"""
"1810","justin minaya","0.86","sf","6-7",190,313,64,11,2017,"south-carolina"""
"1811","felipe haase","0.8528","c""","6-8",250,364,36,33,2017,"south-carolina"""
"1812","jason cudd","0.8317","c""","7-0",250,492,46,7,2017,"south-carolina"""
"1813","ibrahim famouke doumbia","0.8616","pf","6-8",190,300,74,30,2017,"south-carolina"""
"1814","yves pons","0.9251","sf","6-6",217,127,28,1,2017,"tennessee"""
"1815","chris darrington","0.89","cg","6-1",175,NA,NA,NA,2017,"tennessee"""
"1816","zach kent","0.8795","c""","6-10",235,203,18,5,2017,"tennessee"""
"1817","derrick walker","0.8652","pf","6-8",255,270,66,2,2017,"tennessee"""
"1818","savion flagg","0.9791","sf","6-6",190,56,12,4,2017,"texas-am"""
"1819","jay jay chandler","0.9062","sg","6-4",171,154,31,11,2017,"texas-am"""
"1820","tj starks","0.9012","pg","6-2",185,163,29,13,2017,"texas-am"""
"1821","isiah jasey","0.8616","pf","6-9",220,299,73,23,2017,"texas-am"""
"1822","john walker iii","0.8496","sf","6-8",190,399,80,33,2017,"texas-am"""
"1823","saben lee","0.942","pg","6-1",175,105,22,2,2017,"vanderbilt"""
"1824","ejike obinna","0.9052","c""","6-9",220,157,15,10,2017,"vanderbilt"""
"1825","maxwell evans","0.8703","cg","6-2",165,247,12,20,2017,"vanderbilt"""
"1826","philip flory","0.8636","sg","6-4",180,276,57,3,2017,"albany"""
"1827","cameron healy","0.8333","pg","-",NA,444,88,43,2017,"albany"""
"1828","josh hopkins",NA,"sf","6-6",180,NA,NA,NA,2017,"new-hampshire"""
"1829","elijah jordan",NA,"pg","6-1",170,NA,NA,NA,2017,"new-hampshire"""
"1830","elijah olaniyi",NA,"cg","6-4",NA,NA,NA,NA,2017,"stony-brook"""
"1831","anthony ochefu","0.8333","pf","6-8",225,486,114,18,2017,"stony-brook"""
"1832","corry long",NA,"pg","6-2",160,NA,NA,NA,2017,"stony-brook"""
"1833","jordan mckenzie",NA,"pg","6-2",170,NA,NA,NA,2017,"stony-brook"""
"1834",NA,NA,NA,NA,NA,NA,NA,NA,2017,"umbc"""
"1835",NA,NA,NA,NA,NA,NA,NA,NA,2017,"vermont"""
"1836","keith williams","0.9232","sg","6-5",190,128,26,4,2017,"cincinnati"""
"1837","mamoudou diarra","0.8822","sf","6-9",205,196,44,3,2017,"cincinnati"""
"1838","trevor moore","0.8556","sg","6-5",195,340,74,29,2017,"cincinnati"""
"1839","eliel nsoseme","0.8333","c""","6-8",NA,471,45,1,2017,"cincinnati"""
"1840"," ","0.8333","sf","-",NA,444,87,36,2017,"cincinnati"""
"1841","kj davis","0.85","sf","6-6",185,389,78,19,2017,"east-carolina"""
"1842","justin whatley","0.7","pf","6-8",180,558,134,24,2017,"east-carolina"""
"1843","usman haruna",NA,"c""","7-0",215,NA,NA,NA,2017,"east-carolina"""
"1844","dimitri spasojevic",NA,"pf","6-8",240,NA,NA,NA,2017,"east-carolina"""
"1845","gabe grant","0.89","sf","6-6",220,NA,NA,NA,2017,"houston"""
"1846","breaon brady","0.87","pf","6-8",230,NA,NA,NA,2017,"houston"""
"1847","fabian white","0.8647","pf","6-8",210,272,67,22,2017,"houston"""
"1848","mike adewunmi","0.8496","cg","6-4",190,397,22,32,2017,"houston"""
"1849","cedrick alley jr.","0.8333","pf","6-6",215,485,113,38,2017,"houston"""
"1850","corey davis",NA,"pg","6-2.5",190,NA,NA,NA,2017,"houston"""
"1851","kyvon davenport","0.91","sf","6-8",220,NA,NA,NA,2017,"memphis"""
"1852","jamal johnson","0.9034","cg","6-4",170,162,9,5,2017,"memphis"""
"1853","kareem brewton","0.89","cg","6-3",NA,NA,NA,NA,2017,"memphis"""
"1854","david nickelberry","0.8769","sf","6-7",205,215,46,21,2017,"memphis"""
"1855","raynere thornton","0.87","sf","6-6",230,NA,NA,NA,2017,"memphis"""
"1856","mike parks","0.87","pf","6-9",270,NA,NA,NA,2017,"memphis"""
"1857","victor enoh","0.8616","pf","6-8",229,293,71,21,2017,"memphis"""
"1858","malik rhodes","0.84","pg","6-2",170,NA,NA,NA,2017,"memphis"""
"1859","william douglas","0.8999","pg","6-5",175,167,30,2,2017,"smu"""
"1860","ethan chargois","0.8872","pf","6-7",225,186,47,4,2017,"smu"""
"1861","elijah landrum","0.8728","pg","6-0",170,232,46,5,2017,"smu"""
"1862","everett ray","0.853","pf","6-7",215,354,85,31,2017,"smu"""
"1863","nikola scekic",NA,"c""","7-2",250,NA,NA,NA,2017,"south-florida"""
"1864","justin brown",NA,"sf","6-6",210,NA,NA,NA,2017,"south-florida"""
"1865","david collins","0.8778","sg","6-3",200,212,46,11,2017,"south-florida"""
"1866","alexis yetna","0.8585","pf","6-8",205,325,82,6,2017,"south-florida"""
"1867","nate pierre-louis","0.8744","pg","6-3",175,225,42,7,2017,"temple"""
"1868","j.p. moorman","0.8869","sf","6-7",205,188,42,3,2017,"temple"""
"1869","justyn hamilton","0.8655","pf","6-10",190,269,65,6,2017,"temple"""
"1870","de&#39;vondre perry","0.853","sf","6-6",220,355,72,9,2017,"temple"""
"1871","bul ajang","0.871","c""","6-9",220,242,24,8,2017,"tulane"""
"1872","buay koka","0.86","c""","6-10",230,316,30,12,2017,"tulane"""
"1873","shakwon barrett",NA,"pg","6-3",NA,NA,NA,NA,2017,"tulane"""
"1874","caleb daniels",NA,"sg","6-3",195,NA,NA,NA,2017,"tulane"""
"1875","elijah joiner","0.853","cg","6-3",190,359,18,18,2017,"tulsa"""
"1876","daquan jeffries","0.91","sf","6-5",200,NA,NA,NA,2017,"tulsa"""
"1877","darien jackson","0.8628","pg","6-2",175,286,57,4,2017,"tulsa"""
"1878","kani coles","0.88","pf","6-8",NA,NA,NA,NA,2017,"central-florida"""
"1879","myles douglas","0.8616","sf","6-6",190,291,61,15,2017,"central-florida"""
"1880","danny lewis","0.853","sg","6-4",175,356,78,22,2017,"central-florida"""
"1881","samajae jones","0.91","cg","6-0",170,NA,NA,NA,2017,"wichita-state"""
"1882","isaiah poor bear chandler","0.7667","c""","-",NA,553,55,3,2017,"wichita-state"""
"1883","kellan grady","0.9481","pg","6-4",178,95,20,3,2017,"davidson"""
"1884","luke frampton",NA,"sg","6-4",200,NA,NA,NA,2017,"davidson"""
"1885","jordan davis","0.8664","sg","6-4",180,268,55,6,2017,"dayton"""
"1886","jalen crutcher","0.8578","pg","6-3",170,328,65,5,2017,"dayton"""
"1887","jordan pierce","0.7667","pf","6-10",NA,545,131,17,2017,"dayton"""
"1888","naz carter",NA,"sf","6-6",190,NA,NA,NA,2017,"dayton"""
"1889","obi toppin",NA,"pf","6-9",200,NA,NA,NA,2017,"dayton"""
"1890",NA,NA,NA,NA,NA,NA,NA,NA,2017,"duquesne"""
"1891","goanar mar","0.8769","pf","6-7",190,214,54,6,2017,"george-mason"""
"1892","greg calixte","0.7667","pf","6-8",230,537,130,14,2017,"george-mason"""
"1893","javon greene",NA,"pg","6-1",168,NA,NA,NA,2017,"george-mason"""
"1894",NA,NA,NA,NA,NA,NA,NA,NA,2017,"george-washington"""
"1895","jamir moultrie","0.8708","pg","6-1",165,243,50,6,2017,"la-salle"""
"1896","miles brookins","0.826","c""","6-7",200,507,48,50,2017,"la-salle"""
"1897",NA,NA,NA,NA,NA,NA,NA,NA,2017,"rhode-island"""
"1898","jacob gilyard","0.8528","pg","5-10",160,367,72,3,2017,"richmond"""
"1899","tomas verbinskis","0.8354","sf","6-6",185,417,82,42,2017,"richmond"""
"1900","bryce schneider",NA,"sg","6-5",165,NA,NA,NA,2017,"richmond"""
"1901","nathan cayo",NA,"sg","6-7",200,NA,NA,NA,2017,"richmond"""
"1902","aj ford",NA,"sf","6-8",210,NA,NA,NA,2017,"richmond"""
"1903","taylor funk","0.8688","pf","6-8",200,262,63,13,2017,"saint-josephs"""
"1904","charlie brown",NA,"sf","-",NA,NA,NA,NA,2017,"saint-josephs"""
"1905","anthony longpre",NA,"pf","6-9",215,NA,NA,NA,2017,"saint-josephs"""
"1906","jordan goodwin","0.9799","sg","6-3",200,54,11,2,2017,"saint-louis"""
"1907","hasahn french","0.9043","pf","6-7",225,158,40,4,2017,"saint-louis"""
"1908","ndene gueye","0.89","c""","6-10",NA,NA,NA,NA,2017,"saint-bonaventure"""
"1909","bobby planutis","0.8333","pf","6-7",195,453,109,2,2017,"saint-bonaventure"""
"1910","tshiefu ngalakulondi",NA,"sf","6-6",206,NA,NA,NA,2017,"saint-bonaventure"""
"1911","khalea turner-morris","0.8528","c""","6-9",245,365,37,11,2017,"massachusetts"""
"1912","carl pierre",NA,"sg","6-3",175,NA,NA,NA,2017,"massachusetts"""
"1913","sean mobley","0.8756","pf","6-9",225,220,55,24,2017,"virginia-commonwealth"""
"1914","tyler maye","0.8628","pg","6-1",170,284,56,7,2017,"virginia-commonwealth"""
"1915","lewis djonkam","0.8628","pf","6-8",245,285,69,14,2017,"virginia-commonwealth"""
"1916","marcus santos-silva","0.8606","pf","6-7",265,306,77,3,2017,"virginia-commonwealth"""
"1917","mike&#39;l simms",NA,"sg","6-5",225,NA,NA,NA,2017,"virginia-commonwealth"""
"1918","brian thomas","0.8333","pf","6-8",230,437,105,26,2017,"florida-gulf-coast"""
"1919","ryan rocuant",NA,"c""","6-10",210,NA,NA,NA,2017,"florida-gulf-coast"""
"1920","ryan mcadoo",NA,"sf","6-5",201,NA,NA,NA,2017,"florida-gulf-coast"""
"1921","brady ernst","0.88","pf","6-9",230,NA,NA,NA,2017,"florida-gulf-coast"""
"1922",NA,NA,NA,NA,NA,NA,NA,NA,2017,"jacksonville"""
"1923",NA,NA,NA,NA,NA,NA,NA,NA,2017,"lipscomb"""
"1924","brian coffey",NA,"pg","6-1",170,NA,NA,NA,2017,"north-florida"""
"1925","wes morgan",NA,"sg","6-7",175,NA,NA,NA,2017,"north-florida"""
"1926",NA,NA,NA,NA,NA,NA,NA,NA,2017,"stetson"""
"1927","aaron thompson","0.8949","pg","6-1",160,175,33,11,2017,"butler"""
"1928","christian david","0.8823","sg","6-5",185,195,41,2,2017,"butler"""
"1929","cooper neese","0.8725","pg","6-3",170,235,47,10,2017,"butler"""
"1930","jerald butler","0.8705","pg","6-4",210,245,51,25,2017,"butler"""
"1931","tyler polley","0.8999","pf","6-7",190,168,44,15,2017,"uconn"""
"1932","kwintin williams",NA,"pf","6-7",215,NA,NA,NA,2017,"uconn"""
"1933","josh carlton","0.8934","c""","6-9",200,178,16,4,2017,"uconn"""
"1934","isaiah whaley",NA,"pf","6-9",200,NA,NA,NA,2017,"uconn"""
"1935","jacob epperson","0.9664","c""","6-11",210,77,7,6,2017,"creighton"""
"1936","mitchell ballock","0.9497","sg","6-5",185,94,20,1,2017,"creighton"""
"1937","ty-shon alexander","0.9343","sg","6-4",190,113,24,2,2017,"creighton"""
"1938","paul reed","0.865","sf","6-5",170,271,55,29,2017,"depaul"""
"1939","jaylen butz","0.8631","pf","6-9",205,280,68,12,2017,"depaul"""
"1940","justin roberts","0.8616","pg","5-11",155,288,58,8,2017,"depaul"""
"1941","jamarko pickett","0.9674","sf","6-9",215,76,17,4,2017,"georgetown"""
"1942","antwan walker","0.8752","sf","6-7",215,223,47,13,2017,"georgetown"""
"1943","jahvon blair","0.8717","sg","6-3",170,238,52,2,2017,"georgetown"""
"1944","chris yannick sodom","0.867","c""","7-3",225,266,28,21,2017,"georgetown"""
"1945","jamal cain","0.9139","sf","6-7",175,145,34,3,2017,"marquette"""
"1946","theo john","0.8793","pf","6-8",210,204,52,5,2017,"marquette"""
"1947","greg elliott","0.875","sg","6-3",165,224,49,4,2017,"marquette"""
"1948","ike eke","0.853","pf","6-9",216,361,86,8,2017,"marquette"""
"1949","makai ashton-langford","0.9848","pg","6-1",180,41,9,1,2017,"providence"""
"1950","nate watson","0.9451","c""","6-8",220,100,9,5,2017,"providence"""
"1951","dajour dickens","0.9147","c""","7-0",205,143,13,9,2017,"providence"""
"1952","myles cale","0.9505","sg","6-4",185,92,18,1,2017,"seton-hall"""
"1953","jordan walker","0.8894","pg","5-10",160,181,35,3,2017,"seton-hall"""
"1954","sandro mamukelashvili","0.8813","pf","6-11",230,199,50,20,2017,"seton-hall"""
"1955","darnell brodie","0.8517","c""","6-9",250,373,38,35,2017,"seton-hall"""
"1956","quincy mcknight","0.8333","pg","6-3",180,NA,NA,NA,2017,"seton-hall"""
"1957","bryan trimble","0.855","sg","6-3",200,343,75,5,2017,"saint-johns"""
"1958","sidney wilson","0.9524","sf","6-6",170,89,22,3,2017,"saint-johns"""
"1959","boubacar diakite","0.9181","sf","6-8",185,139,31,5,2017,"saint-johns"""
"1960","jermaine samuels","0.9832","sf","6-6",190,46,9,1,2017,"villanova"""
"1961","dhamir cosby-roundtree","0.9475","pf","6-8",215,97,22,5,2017,"villanova"""
"1962","collin gillespie","0.8812","pg","6-2",180,200,38,9,2017,"villanova"""
"1963","paul scruggs","0.9878","pg","6-4",200,34,7,5,2017,"xavier"""
"1964","naji marshall","0.9784","sf","6-6",185,58,14,2,2017,"xavier"""
"1965","elias harden","0.9187","sg","6-6",175,136,28,14,2017,"xavier"""
"1966","jared ridder","0.8939","sf","6-5",180,176,40,2,2017,"xavier"""
"1967","josh pitts",NA,"pf","6-8",230,NA,NA,NA,2017,"cal-state-fullerton"""
"1968","daniel venzant",NA,"pg","5-9",170,NA,NA,NA,2017,"cal-state-fullerton"""
"1969","dominik heinzl",NA,"pf","6-7",200,NA,NA,NA,2017,"cal-state-fullerton"""
"1970","gaber ozegovic",NA,"sf","6-6",195,NA,NA,NA,2017,"cal-state-fullerton"""
"1971","johnny wang",NA,"pf","6-9",240,NA,NA,NA,2017,"cal-state-fullerton"""
"1972","landon kirkwood",NA,"cg","6-4",185,NA,NA,NA,2017,"cal-state-fullerton"""
"1973",NA,NA,NA,NA,NA,NA,NA,NA,2017,"cal-state-northridge"""
"1974",NA,NA,NA,NA,NA,NA,NA,NA,2017,"hawaii"""
"1975","jordan roberts","0.8333","pf","6-6",195,489,115,47,2017,"long-beach-state"""
"1976","ron freeman",NA,"sg","6-5",185,NA,NA,NA,2017,"long-beach-state"""
"1977","deishuan booker",NA,"pg","6-3",180,NA,NA,NA,2017,"long-beach-state"""
"1978","gio nelson",NA,"sg","6-5",175,NA,NA,NA,2017,"uc-davis"""
"1979","delveion jackson",NA,"sg","6-6",195,NA,NA,NA,2017,"uc-davis"""
"1980",NA,NA,NA,NA,NA,NA,NA,NA,2017,"uc-irvine"""
"1981",NA,NA,NA,NA,NA,NA,NA,NA,2017,"charlotte"""
"1982",NA,NA,NA,NA,NA,NA,NA,NA,2017,"florida-international"""
"1983",NA,NA,NA,NA,NA,NA,NA,NA,2017,"florida-atlantic"""
"1984","exavian christon",NA,"sg","6-4",175,NA,NA,NA,2017,"louisiana-tech"""
"1985","amorie archibold",NA,"cg","6-3",165,NA,NA,NA,2017,"louisiana-tech"""
"1986","harrison curry",NA,"pf","6-7",230,NA,NA,NA,2017,"louisiana-tech"""
"1987","anthony duruji","0.8333","sf","6-7",190,481,96,14,2017,"louisiana-tech"""
"1988","iran bennett","0.8333","c""","6-9",270,NA,NA,NA,2017,"marshall"""
"1989","deaundre murphy",NA,"pg","6-3",170,NA,NA,NA,2017,"marshall"""
"1990","darius george",NA,"sg","6-6",180,NA,NA,NA,2017,"marshall"""
"1991","jarrod west",NA,"pg","5-11",165,NA,NA,NA,2017,"marshall"""
"1992","tanner robinette",NA,"pf","6-8",235,NA,NA,NA,2017,"marshall"""
"1993","david simmons","0.89","sg","6-3",210,NA,NA,NA,2017,"middle-tennessee-state"""
"1994","tj massenburg","0.87","pf","6-9",210,250,59,17,2017,"middle-tennessee-state"""
"1995","therren szmidt","0.85","sf","6-5",185,384,76,7,2017,"middle-tennessee-state"""
"1996","james hawthorne",NA,"sf","6-7",195,NA,NA,NA,2017,"middle-tennessee-state"""
"1997","roosevelt smart","0.87","sg","6-1",170,NA,NA,NA,2017,"north-texas"""
"1998","umoja gibson",NA,"pg","6-1",168,NA,NA,NA,2017,"north-texas"""
"1999","amaad wainright","0.89","sf","6-5",NA,NA,NA,NA,2017,"north-texas"""
"2000","curtis hollis","0.8578","sf","6-5",180,327,68,26,2017,"north-texas"""
"2001","michael hueitt jr.","0.8546","pg","6-3",160,347,70,9,2017,"old-dominion"""
"2002","marquis godwin","0.8522","sg","6-5",180,370,82,18,2017,"old-dominion"""
"2003","najja hunter","0.8567","sf","6-5",185,334,70,13,2017,"rice"""
"2004","malik osborne",NA,"sf","6-8",210,NA,NA,NA,2017,"rice"""
"2005","jhivvan jackson","0.9036","pg","5-10",160,160,28,12,2017,"utsa"""
"2006","keaton wallace",NA,"sg","6-3",170,NA,NA,NA,2017,"utsa"""
"2007","deon lyle",NA,"sg","6-6",185,NA,NA,NA,2017,"utsa"""
"2008","nolan bertain",NA,"sg","6-4",180,NA,NA,NA,2017,"alabama-birmingham"""
"2009","jalen perry",NA,"sg","6-3",180,NA,NA,NA,2017,"alabama-birmingham"""
"2010","makhtar gueye","0.8616","pf","6-9",210,302,75,5,2017,"alabama-birmingham"""
"2011","luis hurtado","0.8496","pg","6-5",175,393,78,38,2017,"alabama-birmingham"""
"2012","zack bryant",NA,"cg","6-2",165,NA,NA,NA,2017,"alabama-birmingham"""
"2013","joey st. pierre","0.8604","pf","6-8",245,308,78,13,2017,"utep"""
"2014","evan gilyard","0.8573","pg","5-9",170,331,66,16,2017,"utep"""
"2015","tirus smith",NA,"sf","6-7",180,NA,NA,NA,2017,"utep"""
"2016","kobe magee",NA,"pg","-",NA,NA,NA,NA,2017,"utep"""
"2017","mitchell robinson","0.9973","c""","7-0",222,9,1,2,2017,"western-kentucky"""
"2018","josh anderson","0.9758","sg","6-4",174,61,12,1,2017,"western-kentucky"""
"2019","chris duarte","0.8718","sg","6-5",175,237,51,9,2017,"western-kentucky"""
"2020","taveion hollingsworth","0.853","pg","6-2",165,358,71,5,2017,"western-kentucky"""
"2021","jake ohmer","0.7667","sg","-",NA,548,124,9,2017,"western-kentucky"""
"2022","marek nelson",NA,"sf","6-7",190,NA,NA,NA,2017,"western-kentucky"""
"2023",NA,NA,NA,NA,NA,NA,NA,NA,2017,"cleveland-state"""
"2024",NA,NA,NA,NA,NA,NA,NA,NA,2017,"northern-kentucky"""
"2025",NA,NA,NA,NA,NA,NA,NA,NA,2017,"oakland"""
