"","x"
"101","kennesaw-state"""
"102","liberty"""
"103","lipscomb"""
"104","mercer"""
"105","north-florida"""
"106","south-carolina-upstate"""
"107","stetson"""
"108","butler"""
"109","uconn"""
"110","creighton"""
"111","depaul"""
"112","georgetown"""
"113","marquette"""
"114","providence"""
"115","seton-hall"""
"116","saint-johns"""
"117","villanova"""
"118","xavier"""
"119","cal-poly"""
"120","cal-state-fullerton"""
"121","cal-state-northridge"""
"122","hawaii"""
"123","long-beach-state"""
"124","uc-davis"""
"125","uc-irvine"""
"126","uc-riverside"""
"127","uc-santa-barbara"""
"128","charlotte"""
"129","florida-international"""
"130","florida-atlantic"""
"131","louisiana-tech"""
"132","marshall"""
"133","middle-tennessee-state"""
"134","north-texas"""
"135","old-dominion"""
"136","rice"""
"137","southern-mississippi"""
"138","utsa"""
"139","alabama-birmingham"""
"140","utep"""
"141","western-kentucky"""
"142","cleveland-state"""
"143","detroit"""
"144","northern-kentucky"""
"145","oakland"""
"146","uic"""
"147","wisconsin-green-bay"""
"148","wisconsin-milwaukee"""
"149","wright-state"""
"150","youngstown-state"""
"151","canisius"""
"152","fairfield"""
"153","iona"""
"154","manhattan"""
"155","marist"""
"156","monmouth"""
"157","niagra"""
"158","quinnipiac"""
"159","rider"""
"160","saint-peters"""
"161","siena"""
"162","akron"""
"163","ball-state"""
"164","bowling-green"""
"165","buffalo"""
"166","central-michigan"""
"167","eastern-michigan"""
"168","kent-state"""
"169","miami-ohio"""
"170","northern-illinois"""
"171","ohio"""
"172","toledo"""
"173","western-michigan"""
"174","bradley"""
"175","drake"""
"176","evansville"""
"177","illinois-state"""
"178","indiana-state"""
"179","loyola"""
"180","missouri-state"""
"181","northern-iowa"""
"182","southern-illinois"""
"183","valparaiso"""
"184","air-force"""
"185","boise-state"""
"186","colorado-state"""
"187","fresno-state"""
"188","nevada"""
"189","new-mexico"""
"190","san-diego-state"""
"191","san-jose-state"""
"192","unlv"""
"193","utah-state"""
"194","wyoming"""
"195","denver"""
"196","ipfw"""
"197","iupui"""
"198","nebraska-omaha"""
"199","north-dakota"""
"200","north-dakota-state"""
"201","south-dakota"""
"202","south-dakota-state"""
"203","western-illinois"""
"204","appalachian-state"""
"205","arkansas-state"""
"206","arkansas-little-rock"""
"207","coastal-carolina"""
"208","georgia-southern"""
"209","georgia-state"""
"210","louisiana"""
"211","louisiana-monroe"""
"212","south-alabama"""
"213","texas-state"""
"214","troy"""
"215","texas-arlington"""
"216","cal-state-bakersfield"""
"217","chicago-state"""
"218","new-mexico-state"""
"219","seattle"""
"220","umkc"""
"221","utah-valley"""
"222","utrgv"""
"223","byu"""
"224","gonzaga"""
"225","pacific"""
"226","pepperdine"""
"227","portland"""
"228","san-diego"""
"229","st-marys"""
"230","eastern-washington"""
"231","idaho-state"""
"232","idaho"""
"233","montana"""
"234","montana-state"""
"235","northern-arizona"""
"236","northern-colorado"""
"237","portland-state"""
"238","sacramento-state"""
"239","southern-utah"""
"240","weber-state"""
"241","campbell"""
"242","charleston-southern"""
"243","gardner-webb"""
"244","high-point"""
"245","longwood"""
"246","presbyterian"""
"247","radford"""
"248","unca"""
"249","winthrop"""
"250","delaware"""
"251","drexel"""
"252","elon"""
"253","hofstra"""
"254","james-madison"""
"255","northeastern"""
"256","towson"""
"257","uncw"""
"258","wm"""
"259","brown"""
"260","columbia"""
"261","cornell"""
"262","dartmouth"""
"263","harvard"""
"264","pennsylvania"""
"265","princeton"""
"266","yale"""
"267","bethune-cookman"""
"268","coppin-state"""
"269","delaware-state"""
"270","famu"""
"271","hampton"""
"272","howard"""
"273","umes"""
"274","morgan-state"""
"275","norfolk-state"""
"276","ncat"""
"277","nccu"""
"278","savannah-state"""
"279","south-carolina-state"""
"280","bryant"""
"281","ccsu"""
"282","fairleigh-dickinson"""
"283","liu-brooklyn"""
"284","mount-st-marys"""
"285","robert-morris"""
"286","sacred-heart"""
"287","saint-francis"""
"288","sfny"""
"289","wagner"""
"290","austin-peay"""
"291","belmont"""
