"","Game.","Team","FGM","FGA","X3PM","X3PA","FTM","FTA","OREB","TR","AST","TO","STL","BLK","PF","PTS"
"2895",67,"oklahoma",31,65,5,25,18,23,8,44,13,15,5,8,15,85
"4270",67,"utsa",25,74,5,29,12,17,15,44,10,15,8,1,22,67
"97",68,"alcornst",17,66,3,24,17,21,18,43,6,17,9,1,14,54
"927",68,"depaul",29,58,7,20,7,15,8,39,12,17,11,5,21,72
"2523",69,"nebraska",16,55,6,26,9,19,9,29,12,11,6,6,11,47
"4092",69,"ucriverside",23,55,12,25,8,9,13,49,12,18,8,2,18,66
"449",70,"byu",28,57,11,24,9,15,3,31,16,15,5,2,17,76
"512",70,"calstfullerton",21,57,5,14,11,18,9,30,4,16,7,1,21,58
"766",71,"coloradost",23,50,7,23,21,26,7,35,12,14,4,1,18,74
"913",71,"denver",24,58,7,21,8,15,9,30,9,14,2,3,25,63
"1560",72,"idahost",15,47,4,24,6,18,13,32,9,15,7,1,22,40
"4632",72,"wyoming",19,37,1,10,15,23,3,28,4,12,6,2,20,54
"3295",73,"sandiego",23,59,8,23,19,24,10,26,11,13,8,5,19,73
"4054",73,"ucirvine",25,53,2,11,24,27,9,35,13,16,5,2,22,76
"3362",74,"sdsu",28,72,9,24,12,26,22,58,12,14,10,5,19,77
"3903",74,"texassouthern",14,62,4,19,10,14,14,41,6,20,3,3,20,42
"1686",75,"ipfw",28,58,6,22,9,13,2,19,12,11,10,4,21,71
"4191",75,"unlv",28,54,7,19,23,28,11,43,17,14,3,4,16,86
"464",76,"cal",31,54,10,19,15,18,5,38,12,12,4,1,13,87
"3015",76,"pepperdine",26,70,10,29,9,9,11,30,16,9,3,4,14,71
"2554",77,"nevada",28,68,11,30,7,9,4,32,17,6,6,5,29,74
"4218",77,"utah",26,59,5,23,22,35,13,51,11,13,3,3,16,79
"532",78,"calstnorthridge",23,60,8,26,13,18,13,35,13,15,5,2,24,67
"2954",78,"oregonst",29,63,7,20,22,31,17,45,21,11,8,8,15,87
"2446",79,"ncat",15,46,4,17,16,26,8,33,8,19,6,4,22,50
"2478",79,"ncgreensboro",27,63,11,34,18,27,16,46,17,10,12,6,20,83
"1018",80,"eastcarolina",31,58,4,12,14,24,14,44,17,13,4,7,15,80
"4405",80,"vmi",25,67,9,24,9,13,12,33,13,10,7,0,22,68
"300",81,"binghamton",24,58,9,25,7,10,8,29,12,12,4,4,17,64
"820",81,"cornell",32,62,7,21,13,15,10,38,20,6,10,5,15,84
"1473",82,"highpoint",20,63,2,12,14,21,10,35,6,11,5,5,16,56
"4558",82,"williammary",24,56,8,24,14,20,6,39,15,15,4,4,14,70
"380",83,"brown",23,53,5,17,22,31,13,42,9,15,7,2,18,73
"390",83,"bryant",25,62,8,28,13,21,13,37,14,12,9,0,24,71
"809",84,"coppinst",28,74,10,39,18,24,11,38,15,14,11,3,28,84
"3192",84,"rider",30,62,7,19,24,35,13,51,17,24,7,0,19,91
"574",85,"centralconnecticutst",22,52,5,14,10,19,7,35,15,19,9,3,17,59
"1430",85,"hartford",26,56,10,26,12,15,4,33,18,15,7,2,18,74
"2358",86,"moreheadst",33,73,6,29,18,30,21,53,16,20,7,5,22,90
"3274",86,"samford",29,79,6,26,22,32,23,49,9,17,13,7,20,86
"1228",87,"fordham",24,57,7,17,13,31,14,39,13,10,10,0,12,68
"3662",87,"stfrancisny",23,51,7,25,6,9,4,33,14,16,7,4,27,59
