Game.,Team,FGM,FGA,X3PM,X3PA,FTM,FTA,OREB,TR,AST,TO,STL,BLK,PF,PTS
274,floridaAM,24,66,7,26,33,48,10,38,14,23,9,1,43,88
275,delaware,25,59,4,14,18,26,14,39,12,15,6,7,22,72
275,american,23,55,2,11,15,18,8,34,9,19,5,4,21,63
276,stonybrook,18,53,6,20,7,14,11,38,10,20,4,4,16,49
276,lehigh,24,57,2,14,14,18,8,31,12,11,12,2,18,64
277,ncgreensboro,26,55,2,13,24,31,9,43,11,17,8,3,18,78
277,campbell,24,70,4,25,14,22,14,40,17,14,13,1,25,66
278,fairleighdickinson,26,60,9,17,12,20,12,33,17,15,5,1,19,75
278,morganst,30,54,7,21,9,17,5,23,18,10,6,3,21,76
279,sacredheart,22,59,5,16,6,13,10,34,12,18,13,4,19,55
279,army,18,43,7,14,8,17,5,34,9,24,9,1,14,51
280,westernkentucky,25,62,5,17,12,17,16,42,12,16,5,0,22,67
280,VCU,23,54,5,14,21,30,10,35,12,15,6,0,16,72
281,georgiatech,31,71,4,10,11,15,11,47,12,16,7,5,23,77
281,connecticut,25,66,1,10,10,30,11,46,15,17,9,7,18,61
282,charlotte,18,28,13,31,21,33,11,43,25,16,5,4,20,96
282,syracuse,27,55,8,19,14,25,14,37,20,8,12,1,25,92
283,mercer,22,55,7,21,10,17,12,27,12,21,3,5,15,61
283,illinois,37,69,5,16,14,17,17,44,17,13,6,3,19,93
284,robertmorris,21,52,7,16,12,17,11,24,11,14,8,0,19,61
284,pittsburgh,28,55,5,19,14,20,14,39,14,16,8,3,15,75
285,coloradost,14,44,4,11,17,29,9,31,10,31,3,4,29,49
285,oklahomast,31,62,2,8,18,26,11,37,24,16,10,8,26,82
286,utah,24,50,3,10,3,14,7,62,15,17,4,0,18,54
286,texastech,28,57,0,1,9,13,6,57,10,9,12,5,18,65
287,BYU,17,45,4,12,8,12,8,54,10,21,4,4,20,46
287,cal,17,51,1,14,12,17,15,69,8,17,8,4,15,47
288,colorado,28,63,1,10,16,23,10,45,9,14,9,6,17,73
288,calpoly,22,61,4,22,14,20,8,36,11,13,8,4,19,62
289,southalabama,22,54,11,24,7,11,8,27,9,0,7,0,23,62
289,mississippist,27,61,6,18,11,20,20,45,14,14,7,4,13,71
290,highpoint,15,56,3,16,16,27,9,33,9,18,7,1,19,49
290,michigan,34,60,8,21,8,15,12,47,21,22,8,8,21,84
291,troy,24,57,12,29,9,12,11,27,11,12,4,3,15,69
291,LSU,26,53,10,19,16,23,13,34,16,12,5,6,16,78
292,villanova,25,56,7,16,9,13,9,28,12,13,6,1,16,66
292,ohiost,25,46,4,13,13,23,9,29,10,13,7,1,15,67
293,illinoisst,16,53,8,19,15,16,10,42,11,14,4,1,23,55
293,northernillinois,22,47,5,11,17,26,8,44,12,12,4,11,18,66
294,hawaii,22,47,4,14,24,29,8,21,8,10,3,1,18,72
294,dayton,31,57,6,16,14,23,14,28,11,11,6,0,21,82
